"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","115_https://www.youtube.com/watch?v=NGSMp5Qc32U",3022.71532846715,0,3001,3038,8,8,8,"Pages Za Bible","https://www.youtube.com/watch?v=NGSMp5Qc32U","Alemba DJ Sadic
 Juliani",1335906000,"juliani","yes"
"2","433_https://www.youtube.com/watch?v=FSJxFh8-LLY",35284.6058394161,332.299270072993,25949,42829,491.445255474453,418,544,"Ndio Kusema","https://www.youtube.com/watch?v=FSJxFh8-LLY","King Kaka Avril 
Femi One",1449867600,"kaka","yes"
"3","436_https://www.youtube.com/watch?v=ranBWPZ4AtM",92840.8832116788,66.0948905109489,90239,95223,1120.62773722628,1107,1133,"Ninaweza","https://www.youtube.com/watch?v=ranBWPZ4AtM","Avril  King Kaka",1434661200,"kaka","yes"
"4","620_https://www.youtube.com/watch?v=NNHgOodaiBI",1113.72794117647,7.64705882352941,999,1249,21.4558823529412,21,23,"Free","https://www.youtube.com/watch?v=NNHgOodaiBI","Blessed Jo Kaka Chinizee
Vicky Pon Dis",1448917200,"kaka","yes"
"5","714_https://www.youtube.com/watch?v=nPFgZxe199g",22903.7794117647,57.4264705882353,20090,26161,143.580882352941,137,153,"Iz Vipi","https://www.youtube.com/watch?v=nPFgZxe199g","Calvo Mistari Khaligraph Jones 
UB",1444770000,"khaligraphjones","yes"
"6","765_https://www.youtube.com/watch?v=2Qze3MEBSss",3305.75,13.1102941176471,3107,3519,100.808823529412,96,106,"Coming","https://www.youtube.com/watch?v=2Qze3MEBSss","Amza Cara Feral
Singa Babz
 Khaligraph Jones",1446930000,"khaligraphjones","yes"
"7","886_https://www.youtube.com/watch?v=VKZjEp38sWU",32591.5147058824,1,32355,32990,146.477941176471,145,149,"Haiwessmake","https://www.youtube.com/watch?v=VKZjEp38sWU","King Kaka Chess",1349298000,"kaka","yes"
"8","901_https://www.youtube.com/watch?v=JiCZ5tEUISY",305307.235294118,17.625,304431,306211,1752.63970588235,1744,1760,"Ligi Soo remix","https://www.youtube.com/watch?v=JiCZ5tEUISY","King Kaka Chiwawa 
Femi One
Jay A 
Lyra Aoko
Maddtraxx 
Mejja 
Petra 
Raz 
Wangechi",1373662800,"kaka","yes"
"9","1044_https://www.youtube.com/watch?v=ZVFOidOTHx0",8882.71323529412,1,8744,9012,29.4338235294118,28,31,"Utamu Wa Maisha","https://www.youtube.com/watch?v=ZVFOidOTHx0","Daddy Owen Juliani",1378674000,"juliani","yes"
"10","1190_https://www.youtube.com/watch?v=NGSMp5Qc32U",3022.65441176471,0,3001,3038,8,8,8,"Pages Za Bible","https://www.youtube.com/watch?v=NGSMp5Qc32U","Alemba DJ Sadic
 Juliani",1335906000,"juliani","yes"
