"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","98_https://www.youtube.com/watch?v=OjclGogOWB8",1288.70072992701,0,1274,1299,17,17,17,"Siku Poa","https://www.youtube.com/watch?v=OjclGogOWB8","Masha  Ala-C",1396040400,"masha","no"
"2","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"sanaipei","yes"
"3","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"cali","yes"
"4","105_https://www.youtube.com/watch?v=N5VxOPjrW3Q",1868.49635036496,1,1694,1988,12.4817518248175,12,13,"Labeka","https://www.youtube.com/watch?v=N5VxOPjrW3Q","Albert Shehi",1423515600,"albertshehi","no"
"5","113_https://www.youtube.com/watch?v=pYl3WKv2Xw8",3216.05109489051,5.77372262773723,2951,3426,47.6496350364963,47,49," Love Not War","https://www.youtube.com/watch?v=pYl3WKv2Xw8","Alemba  St Matthew",1442696400,"alemba","yes"
"6","113_https://www.youtube.com/watch?v=pYl3WKv2Xw8",3216.05109489051,5.77372262773723,2951,3426,47.6496350364963,47,49," Love Not War","https://www.youtube.com/watch?v=pYl3WKv2Xw8","Alemba  St Matthew",1442696400,"stmatthew","yes"
"7","114_https://www.youtube.com/watch?v=g9cd3YsI9xQ",10126.0437956204,1,9491,10848,134.335766423358,129,140,"Around & Around","https://www.youtube.com/watch?v=g9cd3YsI9xQ","Alemba Kristine Alicia",1397163600,"alemba","no"
"8","115_https://www.youtube.com/watch?v=NGSMp5Qc32U",3022.71532846715,0,3001,3038,8,8,8,"Pages Za Bible","https://www.youtube.com/watch?v=NGSMp5Qc32U","Alemba DJ Sadic
 Juliani",1335906000,"alemba","yes"
"9","115_https://www.youtube.com/watch?v=NGSMp5Qc32U",3022.71532846715,0,3001,3038,8,8,8,"Pages Za Bible","https://www.youtube.com/watch?v=NGSMp5Qc32U","Alemba DJ Sadic
 Juliani",1335906000,"dj","yes"
"10","115_https://www.youtube.com/watch?v=NGSMp5Qc32U",3022.71532846715,0,3001,3038,8,8,8,"Pages Za Bible","https://www.youtube.com/watch?v=NGSMp5Qc32U","Alemba DJ Sadic
 Juliani",1335906000,"juliani","yes"
